land,er_eu_medlem,er_geografisk_europa,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment,total_allocation_inkl_eu,total_commitment_inkl_eu
Australia,False,False,0.0,0.16089861705101702,0.9117147146250586,1.0726133316760755,0.0,0.16089861705101702,0.8912826087747933,1.0521812258258103,1.0726133316760755,1.0521812258258103
Austria,True,True,0.11970562793031261,0.7578741891896477,0.0032556386286873218,0.8808354557486475,0.11970562793031261,0.7976741891896477,0.0032556386286873218,0.9206354557486476,3.305110805902355,6.409203810848585
Belgium,True,True,0.04856,0.412200342875,2.7209850165974947,3.1817453594724947,0.45856,0.530810342875,2.720285016531666,3.709655359406666,6.426761127620478,10.984000633776905
Bulgaria,True,True,6e-05,0.0019718498723540682,0.23623598286415715,0.23826783273651123,6e-05,0.0019718498723540682,0.23623598286415715,0.23826783273651123,0.6314258004252362,1.1372499415234025
Canada,False,False,8.424165930901676,0.5682763746192053,4.980972886526693,13.973415192047575,10.327790090592476,0.5568913562375073,5.492882599373519,16.377564046203503,13.973415192047575,16.377564046203503
Croatia,True,True,0.001,0.09789034742354606,0.2558257193361774,0.3547160667597235,0.001,0.10289034742354607,0.2558257193361774,0.3597160667597235,0.7001395478286924,1.1393196552900877
Cyprus,True,True,0.001,0.003,0.0,0.004,0.001,0.003,0.0,0.004,0.15259769578276794,0.34163436284846493
Czechia,True,True,0.0,0.059713853429157825,0.5722345761304586,0.6319484295596164,0.0,0.28175478445125995,0.6071747970859144,0.8889295815371743,1.995556108285855,3.9996158636468406
Denmark,True,True,0.11512737004461153,0.9551103140220396,9.94975377068701,11.019991454753661,0.13336231437168736,1.1449492659826257,10.796579667522712,12.074891247877025,12.964223159087025,16.453293733604298
Estonia,True,True,0.01,0.06497940266717306,0.8825246070152625,0.9575040096824355,0.0776,0.0935,1.0105246070152625,1.1816246070152625,1.1435644541877075,1.6076494051473096
EU (Commission and Council),False,True,81.21380143010752,3.211489755619087,0.0,84.4252911857266,187.512831,3.211489755619087,0.0,190.7243207556191,84.4252911857266,190.7243207556191
Finland,True,True,0.1594,0.276886963199712,3.1688,3.605086963199712,0.1594,0.6999171701639999,3.5741,4.433417170164,5.1816170428625234,8.010801104887475
France,True,True,0.7994,0.8756298144295163,6.231602507116993,7.9066323215465095,0.7994,0.9756298144295164,8.547316115674963,10.322345930104479,24.132383049524428,46.995994402919365
Germany,True,True,1.4475,3.832897854,20.014111196280748,25.294509050280748,1.4475,3.832437854,41.952318,47.232255854,44.40704144188742,90.56910342611681
Greece,True,True,0.0,0.0,0.16854554321491808,0.16854554321491808,0.0,0.0,0.16854554321491808,0.16854554321491808,1.3053031698407633,2.733867936935414
Hungary,True,True,0.0,0.05409024949918937,0.0,0.05409024949918937,0.0,0.05409024949918937,0.0,0.05409024949918937,0.9378008485665659,2.05907313403844
Iceland,False,True,0.012926694244057913,0.02799031973993471,0.056947810069177,0.09786482405316962,0.012926694244057913,0.03389856283037467,0.05565284968828164,0.10247810676271422,0.09786482405316962,0.10247810676271422
Ireland,True,True,0.047,0.2187717571355881,0.20886207843252969,0.4746338355681178,0.047,0.2058717571355881,0.12886207843252967,0.3817338355681178,2.065916724363067,4.027387809369272
Italy,True,True,0.41,0.6849822726970851,3.0,4.094982272697085,0.41,0.6424822726970851,3.0,4.052482272697085,15.641837280265516,29.926417645363408
Japan,False,False,9.267305363053316,1.7071999814693533,0.06311932285507033,11.03762466737774,16.09012189012404,2.624374312173453,0.06311932285507033,18.77761552515256,11.03762466737774,18.77761552515256
Latvia,True,True,0.04725,0.02449827890580548,0.5827095963790878,0.6544578752848933,0.04725,0.02942827890580548,0.6026474963790878,0.6793257752848932,0.8459116711112888,1.116786192635141
Lithuania,True,True,0.0515,0.20206730787455396,1.1639474510899706,1.4175147589645245,0.0515,0.1931946157491079,1.350383436471988,1.5950780522210959,1.7186934381466015,2.2829618768161053
Luxembourg,True,True,0.0013,0.12829733432795012,0.21264027606776884,0.342237610395719,0.0013,0.12829733432795012,0.4463599874811508,0.575957321809101,0.6024286688526714,1.171062657989754
Malta,True,True,0.0,0.00217,0.0,0.00217,0.0,0.00217,0.0,0.00217,0.0809290343058932,0.18192122629989568
Netherlands,True,True,0.7158754129955948,1.1188293318914109,8.606606989331466,10.441311734218472,1.0553754129955948,1.6264294542056823,11.04048286611139,13.722287733312667,14.463614085167523,22.79074695944923
New Zealand,False,False,0.004863015349737765,0.03923795084830736,0.035861821723705174,0.0799627879217503,0.004863015349737765,0.03923795084830736,0.035861821723705174,0.0799627879217503,0.0799627879217503,0.0799627879217503
Norway,False,True,2.0346258729501705,1.7799580386131981,6.190492270710976,10.005076182274344,5.032099090501575,1.6645724385286627,18.02742187040849,24.724093399438726,10.005076182274344,24.724093399438726
Poland,True,True,0.9129993382110212,0.4992562301865118,4.451809617993539,5.8640651863910715,0.9129993382110212,0.4992562301865118,4.998780886376765,6.4110364547742975,9.229451890392436,13.989610245294692
Portugal,True,True,0.000105,0.0023174746475389564,0.38213635100842575,0.3845588256559647,0.000105,0.0023174746475389564,0.5253800549375974,0.5278025295851364,1.7389944962350445,3.6163690866253364
South Korea,False,False,0.19396573708028436,0.4303202807931652,0.0145063379232248,0.6387923557966743,2.3210778940034724,0.43644307523996234,0.0145063379232248,2.7720273071666597,0.6387923557966743,2.7720273071666597
Romania,True,True,0.0,0.12301101031625243,0.41432953933586364,0.5373405496521161,0.0,0.12301101031625243,0.41432953933586364,0.5373405496521161,1.9121972931510127,3.6834449681227492
Slovakia,True,True,0.005,0.01935124514583333,0.6964642323807152,0.7208154775265485,0.005,0.0177637333125,0.6964642323807152,0.7192279656932152,1.3090567197411442,2.064479057298753
Slovenia,True,True,0.0,0.019409296758314102,0.11561865008175629,0.13502794684007038,0.0,0.021910276758314102,0.11561865008175629,0.1375289268400704,0.4454533731637643,0.8424281287300819
Spain,True,True,0.4707,0.3153124195144559,1.4417222877468334,2.2277347072612894,0.4707,0.3133124195144559,2.7040229423927253,3.488035361907181,9.869262192861928,20.65908250232652
Sweden,True,True,0.2967027169744978,0.8742902222664004,9.149259440682789,10.320252379923687,2.8611075438683393,0.8039283723470081,15.522491377687754,19.187527293903102,13.132995963000617,25.53672395902643
Switzerland,False,True,0.22529351243393886,0.9370239810486771,0.0,1.162317493482616,0.272092950840678,5.530565388181165,0.0,5.802658339021843,1.162317493482616,5.802658339021843
Turkiye,False,False,0.0,0.004541827216951435,0.06624320681336232,0.07078503403031376,0.0,0.004541827216951435,0.06624320681336232,0.07078503403031376,0.07078503403031376,0.07078503403031376
United Kingdom,False,True,3.7532059209134707,1.3588819463903914,14.897166072863701,20.009253940167564,5.610362987242415,1.4036135400162648,25.330439384575477,32.344415911834155,20.009253940167564,32.344415911834155
United States,False,False,47.29718240785592,3.4665807705906357,64.61688619376132,115.38064937220787,49.96455913803612,3.4174602367970954,65.58131693752397,118.96333631235719,115.38064937220787,118.96333631235719
China,False,False,0.0,0.002345430326683743,0.0,0.002345430326683743,0.0,0.002345430326683743,0.0,0.002345430326683743,0.002345430326683743,0.002345430326683743
Taiwan,False,False,0.004,0.04869741959739326,0.0,0.052697419597393255,0.004,0.0918294254672498,0.0,0.0958294254672498,0.052697419597393255,0.0958294254672498
India,False,False,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0027113388999334786,0.0027113388999334786
